MATERIAL	DESC_MAT	QTDE	X	Y	Z
119466	119466-CONJUNTO DE SUPORTE CLEVIS PARA USO NO SETO	1,00	A	028	2
12.03.013	MASCARA FACIAL SILICONE OPTIFIT 6500 M RESPIRADOR	6,00	K	022	2
121997	121997-FONTE DE ALIMENTACAO 12VDC 2,5A PARA USO EM	1,00	A	027	2
122564	122564-DISJUNTOR 15A 1P 120VAPARA USO NO SETOR FER	1,00	A	027	2
122844	5 - WF2126 - FILTRO DE ARREFECIMENTO	7,00	I	025	2
122844	5 - WF2126 - FILTRO DE ARREFECIMENTO	11,00	K	022	1
122844	5 - WF2126 - FILTRO DE ARREFECIMENTO	12,00	K	022	1
122844	5 - WF2126 - FILTRO DE ARREFECIMENTO	7,00	K	022	1
122845	ELEMENT AIR FILTER; PRIMARY 7 - AF25544 - FILTRO D	11,00	0	0	0
122846	ELEMENT AIR SAFETY FILTER 6 - AF25545 - FILTRO DE	21,00	J	026	7
122846	ELEMENT AIR SAFETY FILTER 6 - AF25545 - FILTRO DE	14,00	K	021	6
122846	ELEMENT AIR SAFETY FILTER 6 - AF25545 - FILTRO DE	12,00	L	026	2
123126	DISJUNTOR CB 15A 1P EPD 30MA, REF. LORAM 123126, P	2,00	A	027	2
123381	123381-RELE 12VDC SPDT PARA USO NO SETOR FERROVIAR	1,00	A	027	2
123402	PLC POWER SUPPLY 24VDC; 75W OUTPUT @ 60 DEG C FONT	2,00	A	027	2
123402	PLC POWER SUPPLY 24VDC; 75W OUTPUT @ 60 DEG C FONT	1,00	K	020	1
123662	CONT MS 09A 480V 3P; 24VDC COIL 1 NO AUX CONTATOR	1,00	A	027	2
123663	123663-CONTATOR ARRANQUE MOTOR 16A 480V 3 POLOS 24	1,00	A	027	2
123663	123663-CONTATOR ARRANQUE MOTOR 16A 480V 3 POLOS 24	2,00	A	027	2
123663	123663-CONTATOR ARRANQUE MOTOR 16A 480V 3 POLOS 24	1,00	A	028	2
123663	123663-CONTATOR ARRANQUE MOTOR 16A 480V 3 POLOS 24	1,00	K	003	3
123665	CONT MS 55A 3P; 24VDC COIL	2,00	A	027	2
123665	CONT MS 55A 3P; 24VDC COIL	2,00	A	027	2
123665	CONT MS 55A 3P; 24VDC COIL	17,00	A	028	2
123665	CONT MS 55A 3P; 24VDC COIL	1,00	J	021	1
